Name,Index Year,Overall Score,Property Rights,Government Integrity,Judicial Effectiveness,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Brunei Darussalam,2019,65.1,64,43.7,56,90.7,59.9,20,80.2,90.8,76.5,84,65,50
Bulgaria,2019,69,62.5,35.1,41.9,90.2,63.9,98.8,62.7,68.4,88,86,70,60
Burkina Faso,2019,59.4,49.1,36.6,42.9,81.9,80,61.8,51.6,52.3,86.2,65.2,65,40
Burma,2019,53.6,34.7,30.6,18.1,86.6,85.4,78.3,52.8,65.7,69.6,70.8,30,20
Burundi,2019,48.9,20.6,26.2,31,74,83.3,23.3,50.3,67.5,62.2,68.2,50,30
Cabo Verde,2019,63.1,44.1,43.7,49,76.4,71.2,59.7,65.2,55.7,84.1,68.2,80,60
Cambodia,2019,57.8,37.4,16.7,27.6,89.7,85.9,89.1,29.9,63,79.4,65.4,60,50
Cameroon,2019,52.4,42.5,25.5,31.3,74.4,87.5,58.4,44.4,47.8,84,53.4,30,50
Canada,2019,77.7,87,84.6,69.4,76.8,51.3,83.1,81.9,73.7,77.2,86.8,80,80
Central African Republic,2019,49.1,19.6,23.2,29.6,65.2,94.2,94.3,24.2,40.1,72.3,51,45,30
Chad,2019,49.9,26.7,23.2,24.6,46.1,92.4,85.2,28.1,43.2,82.3,47.2,60,40
Chile,2019,75.4,68.7,62.3,56.3,77.3,81,89,76.6,65,84.5,88.8,85,70
China,2019,58.4,49.9,49.1,75.2,70.4,70.1,76,56.2,64.2,71.9,73,25,20
Colombia,2019,67.3,59.2,33.5,34.3,74.3,75,79.2,71.4,78.5,75.6,76,80,70
Comoros,2019,55.4,36.5,24.4,29.6,63.9,73.4,91.7,57.2,60.3,82.8,70,45,30
Costa Rica,2019,65.3,58.3,54.5,54,79.2,88.4,42.5,67.2,55.2,83.2,81.4,70,50
C??te d'Ivoire,2019,62.4,40.9,38.1,47.8,77.5,83.9,74.3,61,52.5,74.2,73.6,75,50
Croatia,2019,61.4,66,38.6,42.9,66.4,33.4,85.4,60.7,44,78.5,86,75,60
Cuba,2019,27.8,31.6,37.7,10,48.8,0,15.6,20,20,65.6,64,10,10
Cyprus,2019,68.1,73.1,43.7,48.1,74.9,55.2,80.3,76.9,59.5,84,86,75,60
Czech Republic,2019,73.7,74.8,52.1,47.6,82.6,52.1,97.6,72.4,78.1,81.5,86,80,80
Democratic Republic of Congo,2019,50.3,25.3,26.2,30.7,73.8,93.9,96.9,53.2,41.9,49.1,62.6,30,20
Denmark,2019,76.7,86.2,85.8,77.8,42,14.4,96.7,90.7,86.4,84.1,86,90,80
Djibouti,2019,47.1,29.7,28.1,18.1,76.2,27.3,18.1,54.7,60.4,72.7,50.4,80,50
Dominica,2019,63.6,49.2,54.5,63.8,72.1,53.5,84.7,70.7,60.4,85.7,68.2,70,30
Dominican Republic,2019,61,50.6,23.2,18.1,84.6,90.3,89.9,51.9,57.6,79.7,75.8,70,40
Ecuador,2019,46.9,35.9,25.3,20.2,77,55.5,32.1,54.1,48.2,73.5,66.4,35,40
Egypt,2019,52.5,37,29.2,48.3,85.2,68.1,0,65.9,51.6,62.3,71.8,60,50
El Salvador,2019,61.8,37.6,23.4,29.1,78.1,86.3,81.9,57.2,53.1,79,81.4,75,60
Equatorial Guinea,2019,41,29.7,15.8,18.1,71.3,67.6,16.4,37.6,32.7,83.7,48.8,40,30
Eritrea,2019,38.9,35.5,19.7,18.1,81.4,73.9,0,17.7,70,61,69.2,0,20
Estonia,2019,76.6,81.5,73.1,76,79.9,51.1,99.8,75.3,57.2,79.6,86,90,70
Eswatini,2019,54.7,41.7,35,42.9,74.8,65.6,18.3,59.2,67.5,73.7,87.6,50,40
Ethiopia,2019,53.6,32.6,35.1,40.9,77.2,90.4,83.3,48.6,58,60.8,60.8,35,20
Fiji,2019,62.2,67.3,23.4,42.9,81.1,71.7,82.4,63,72.9,73.5,62.8,55,50
Finland,2019,74.9,89.6,92.5,81.2,66.8,7.2,86.4,89.4,50.3,84.8,86,85,80
France,2019,63.8,82.5,67.9,66.1,48.4,3.9,64.9,81.2,45.2,79.1,81,75,70
Gabon,2019,56.3,28.1,35.5,30.6,75.8,86.6,82.1,52.1,53,80,51.2,60,40
Georgia,2019,75.9,65.9,58.5,54.6,87.1,73.6,93.9,85.8,76.6,76,88.6,80,70
Germany,2019,73.5,79.9,81.3,75.4,60.8,42.3,91.8,83.3,52.8,77.9,86,80,70
Ghana,2019,57.5,49.1,35.5,44.2,78.8,82,23.9,56.5,59.9,66.3,63.4,70,60
Greece,2019,57.7,52.4,37.7,49.5,59.1,23.3,79,74.1,52.5,79.1,81,55,50
Guatemala,2019,62.6,40.3,26.4,32.3,79.2,95.6,96.2,53.6,48.7,77,82.2,70,50
Guinea,2019,55.7,34.7,25.5,32.6,69.4,89.8,87.2,54.6,54.9,66.4,63.2,50,40
Guinea-Bissau,2019,54,32.6,25.3,42.9,88.8,86.7,81.4,35.9,61.2,78.1,55.6,30,30
Guyana,2019,56.8,41.7,33.2,42.9,67,69.4,77.6,59.3,62,76.9,66.8,55,30
Haiti,2019,52.7,10.4,20.3,25.3,79.9,88.3,95.9,36.2,62.6,66.5,72,45,30
Honduras,2019,60.2,43.4,25.3,31,82.8,78.2,95.9,56.9,32,73,79.4,65,60
Hong Kong,2019,90.2,93.3,83.8,75.3,93.1,90.3,100,96.4,89.2,86.4,95,90,90
Hungary,2019,65,60.9,35.3,45.2,78.6,31.7,85,61.1,64.7,81.8,86,80,70
Iceland,2019,77.1,87.4,83.8,63.8,72.7,44,96.7,88.4,64.1,81.7,87,85,70
India,2019,55.2,57.3,47.8,61.6,79.4,77.3,14.7,57.1,41.8,72.4,72.4,40,40
Indonesia,2019,65.8,52.2,39.5,53.5,83.7,91.4,88.1,69.3,49.3,77.4,79.8,45,60
Iran,2019,51.1,33.5,35,41.3,80.9,89.8,89.5,62.2,50.7,60.1,54.6,5,10
Iraq,2019,,37,20.3,12.3,,52.8,13.3,54.4,53.1,81.4,,,
Ireland,2019,80.5,85.8,78,68.4,76.3,77.4,89,83.1,75.3,87,86,90,70
Israel,2019,72.8,80,67.9,73.4,61.9,52.4,85.3,71.4,65.1,86.2,84.4,75,70
Italy,2019,62.2,71.7,43.7,49.8,55.6,26.5,71.3,71.7,51.1,84,86,85,50
Jamaica,2019,68.6,60.7,45,49.2,80.2,76,80,78,73.6,82.6,68.4,80,50
Japan,2019,72.1,84.1,78,68.5,68.2,55,55.7,80.5,79,85.9,80,70,60
Jordan,2019,66.5,58.4,50.3,52.6,91.4,73.4,60.6,61.8,52.7,85,81.4,70,60
Kazakhstan,2019,65.4,59.3,40.3,56.1,93.4,83.7,41,73.9,86.2,70.9,80,50,50
Kenya,2019,55.1,53.8,32.1,46.9,79.5,77.8,13.8,55.8,63.4,72.7,60.4,55,50
Kiribati,2019,47.3,44.1,35.1,34.3,73,0,98.6,41.9,50.7,81.1,53.2,25,30
Kosovo,2019,67,57.2,44.7,53.5,92.5,77.7,96,73.8,64.9,78.3,70.8,65,30
Kuwait,2019,60.8,52.9,35.3,43.3,97.7,17.3,99.1,57.4,61.7,70.6,79,55,60
Kyrgyz Republic,2019,62.3,49.9,27.2,27.9,94.1,54.2,78.4,73.4,79.8,74.4,78.6,60,50
Laos,2019,57.4,38.8,33.5,42.5,86.9,85.3,66.5,60.1,60.1,78.5,81.8,35,20
Latvia,2019,70.4,67.3,35.5,48.4,77,57.1,96.9,77.5,73.3,81.1,86,85,60
Lebanon,2019,51.1,39.5,18.2,26.6,91.8,75.6,0,47.9,46.5,78.1,79,60,50
Lesotho,2019,53.1,41.5,30.9,45.7,59.4,33,63.5,53.3,58.8,75,81,55,40
Liberia,2019,49.7,26.7,24.2,39,82.7,62.1,69.1,50.6,38.3,68.9,60.1,55,20
Libya,2019,,7.6,15.8,24.4,,0,20,40.2,51.3,52.8,,5,
Liechtenstein,2019,,,,,,,,,,,,85,80
Lithuania,2019,74.2,73.6,47.8,61.2,86.4,65.1,97.3,75.2,63.6,84.6,86,80,70
Luxembourg,2019,75.9,83,85.8,72.4,65.4,46.6,98.9,68.8,45.9,82.6,86,95,80
Macau,2019,71,60,33.2,60,77.1,90.4,100,60,50,76.5,90,85,70
Madagascar,2019,56.6,33.2,14.3,24.4,91,91.8,85.5,47.3,44.6,72.4,69.2,55,50
Malawi,2019,51.4,35.8,25.2,40.1,79.8,70.3,19.1,41.7,64,65.5,75.4,50,50
Malaysia,2019,74,84.1,55.4,68.2,85.6,83.2,82.4,83.9,74.4,78.6,82,60,50
Maldives,2019,53.2,43.9,33.5,36.4,95.8,60.8,10.7,78.3,70.8,81,62.6,35,30
Mali,2019,58.1,33.7,29.6,33.4,68.7,85.4,84.2,53.8,52.2,81.6,69.8,65,40
Malta,2019,68.6,69.8,50.3,50.4,64.2,56.1,94.5,67.1,61.3,78.2,86,85,60
Mauritania,2019,55.7,27.5,30.6,30.6,78,74.2,80.6,61.9,51.5,81.2,62.6,50,40
Mauritius,2019,73,69.5,40.3,62.1,92.1,80.3,73.6,79.8,60.8,79.4,88.4,80,70
Mexico,2019,64.7,59.1,26.3,34.9,75.8,78.2,83.2,67.8,58.6,75.9,81.4,75,60
Micronesia,2019,51.9,7.6,36.6,26.6,92.8,0,98.8,57.4,71.9,85.8,80.6,35,30
Moldova,2019,59.1,55.2,25.4,29.6,85.4,59.1,92,67,39,73.5,78,55,50
Mongolia,2019,55.4,48.2,29.8,23.8,88.5,63.1,6.2,66,75,77.8,75.8,50,60
Montenegro,2019,60.5,55.4,39.5,51.8,85.3,32.6,23.2,73.3,73.4,81.6,84.7,75,50
Morocco,2019,62.9,57.2,39.2,47.1,72.2,72.7,66.9,70.3,33.1,83.5,77.4,65,70
Mozambique,2019,48.6,33.9,28.1,35.2,75.5,66.9,16.6,57.1,42,65.4,78,35,50
Namibia,2019,58.7,55.9,49.8,54.7,66.5,48.9,15.7,65.8,85.1,74.4,83,65,40
Nepal,2019,53.8,39.2,26.2,34.7,84,83.7,98.5,61.8,47.9,69.4,60.4,10,30
Netherlands,2019,76.8,88,89.1,74.7,51.6,42.9,93.3,81.4,60.3,84,86,90,80
New Zealand,2019,84.4,95,96.7,83.5,71,50.4,98.6,91,86.7,87.5,92.4,80,80
Nicaragua,2019,57.7,33.4,20.3,18.7,76.9,79.1,93.9,56,55.8,72.7,76,60,50
Niger,2019,51.6,37.2,34.1,31,76.9,75.6,22.2,56.3,48.2,76.7,65.8,55,40
Nigeria,2019,57.3,36.5,20.5,34.3,85,96.5,68.2,51.2,83.3,65,62.4,45,40
North Korea,2019,5.9,31.6,24.4,5,0,0,0,5,5,0,0,0,0
North Macedonia,2019,71.1,65.1,44.7,60.7,91.8,70,82.9,80.2,71.5,78.7,82,65,60
Norway,2019,73,86.1,92.3,81.2,57.4,25.3,97.3,89.4,53.7,75.4,83.2,75,60
Oman,2019,61,58.1,53.8,51.6,97.8,32.5,16.1,75.2,57.3,77.7,87,65,60
Pakistan,2019,55,41.5,30.6,40.2,80.5,87.6,49.2,56.1,41.8,72.6,64.8,55,40
Panama,2019,67.2,60.4,34.1,30.1,85,85.3,91.3,73.6,43.4,79.4,79.2,75,70
Papua New Guinea,2019,58.4,37.4,37.2,49,71.8,89.1,75.2,62.2,72.6,70,80.9,25,30
Paraguay,2019,61.8,39.5,25.5,30,96.3,78.9,96.3,61.5,29.2,72.8,76.6,75,60
Peru,2019,67.8,56.1,31.8,34,80.6,86.1,88.5,67.8,63.5,83.9,86.4,75,60
Philippines,2019,63.8,48.7,30.9,36.4,76.9,88.7,97.1,61.3,57.9,69.6,78.2,60,60
Poland,2019,67.8,62.3,49.8,44,74.9,48.8,86.4,65.4,63.9,82.1,86,80,70
Portugal,2019,65.3,71.5,59.5,64.3,59.9,35.6,69.8,79.7,44.3,83,86,70,60
Qatar,2019,72.6,64.5,77.4,60,99.7,56.8,94,71.2,65.9,78.4,83.2,60,60
Republic of Congo,2019,39.7,33.2,25.3,29.6,59.5,40.6,0,38.2,35.8,82.6,56.8,45,30
Romania,2019,68.6,66.7,39.8,51.9,89.7,69,89.3,63.1,64.5,82.7,86,70,50
Russia,2019,58.9,52.4,36.6,45.1,89.4,62.3,86.6,78.4,52.5,65.1,77.8,30,30
Rwanda,2019,71.1,72.2,67.9,83.2,79.8,79.4,86.3,56.2,82.2,76.1,70.4,60,40
Saint Lucia,2019,68.7,65.9,50.3,63.8,76.2,79.3,81.3,76.3,69.2,83.9,73.2,65,40
Saint Vincent and the Grenadines,2019,65.8,36.5,50.5,63.8,71.2,74.3,85,76.5,73.5,82.2,66.6,70,40
Samoa,2019,62.2,53.8,37.7,31,79.9,62.3,93.6,77,78.2,83.5,63.8,55,30
S?œo Tom?? and Pr??ncipe,2019,54,37.4,35.5,26.6,87.2,67,62.3,65.1,42.7,70.5,64.2,60,30
Saudi Arabia,2019,60.7,55,49.8,62.7,99.8,57.5,19.4,72.3,63.3,78.1,76,45,50
Senegal,2019,56.3,47.8,40.3,40.4,70.8,73.3,60,53.3,39.4,78.2,72,60,40
Serbia,2019,63.9,50.1,37.2,44.8,82,45.1,90.1,72.9,67.4,80,77,70,50
Seychelles,2019,61.4,58.2,39.2,37.5,76.3,60.3,92,63.3,63.2,80,81.4,55,30
Sierra Leone,2019,47.5,35.5,26.2,34.5,87.3,84.4,13.2,44.9,29.3,65,69.4,60,20
Singapore,2019,89.4,97.4,95.1,92.4,90.4,90.7,80,90.8,91,85.3,94.8,85,80
Slovak Republic,2019,65,68.5,37.7,37.2,78.6,46.1,87.2,61.3,53.4,78.6,86,75,70
Slovenia,2019,65.5,76.4,53.6,46.5,58.4,38.3,82.6,79.3,61.2,83.6,86,70,50
Solomon Islands,2019,54.6,49.9,33.5,51.7,65.5,36.5,89.4,68.6,72,86,56.8,15,30
Somalia,2019,,33.7,7.9,26.6,,,,31.7,,,,,
South Africa,2019,58.3,58.8,39.7,39.3,62.1,67.6,62.6,64.3,59.1,75.2,76,45,50
South Korea,2019,72.3,79.3,50.5,57.5,64.2,68.6,96.8,91.3,57.4,82,80.4,70,70
Spain,2019,65.7,72.9,51.9,51.4,62.3,46.2,51.1,66.8,57.8,87.5,86,85,70
Sri Lanka,2019,56.4,44.7,28.9,39.4,84.9,88.3,30.4,75.1,58.8,70.1,76.2,40,40
Sudan,2019,47.7,27.5,26.2,22.2,86.3,96.6,76.1,52.1,59,56.9,45,5,20
Suriname,2019,48.1,49.1,35.5,22.2,70.9,77.2,9.6,48.3,73.5,56,64.6,40,30
Sweden,2019,75.2,89.5,88,84,43.2,26.7,96.6,88,53.9,82,86,85,80
Switzerland,2019,81.9,85.3,88,82,70.5,64.8,96.3,75.4,72.5,85.2,87.4,85,90
Syria,2019,,37,20.3,24.4,,,,49.6,58.2,48.3,47,0,
Taiwan,2019,77.3,85.4,69.2,70.1,75,90.6,91.6,93.2,60.9,84.4,87,60,60
Tajikistan,2019,55.6,47.8,36.4,52.1,91.8,64.6,60.3,67.3,49.2,68.5,73.6,25,30
Tanzania,2019,60.2,35.4,33.2,41.4,80.5,90.3,85.2,46.6,66.2,70.4,67.8,55,50
Thailand,2019,68.3,53.7,36.4,45.9,81.3,85.8,96.5,82.5,63.9,75.2,83,55,60
The Bahamas,2019,62.9,42.2,43.7,46.9,97.3,86.8,65.7,68.5,67.5,78.1,47.8,50,60
The Gambia,2019,52.4,39.9,41.2,42.5,74.3,70.7,0,54,67.4,62.4,61.6,65,50
Timor-Leste,2019,44.2,29.7,32.1,13.1,96.3,0.9,20,60.5,58.8,79.5,75,45,20
Togo,2019,50.3,35.5,28.1,29.6,67.8,77,24.5,50.4,46.7,79.1,69.4,65,30
Tonga,2019,57.7,59.2,38.1,26.6,85.5,40.9,93.4,75.3,69.9,69.4,73.6,40,20
Trinidad and Tobago,2019,57,52.3,32.9,40.6,82.3,61.9,16.6,67.8,75.6,75.1,68.4,60,50
Tunisia,2019,55.4,49.2,36.6,42.7,74.4,74.4,37.9,76.7,50.3,76,71.4,45,30
Turkey,2019,64.6,55.8,41.2,49.8,76.4,65.1,92.2,66,49.2,70,79.6,70,60
Turkmenistan,2019,48.4,31.6,20.3,29.8,95.9,92,92.3,30,20,73.4,76,10,10
Uganda,2019,59.7,42.2,25.4,38.5,73.3,88.7,68.6,46.3,83.2,80.1,75.4,55,40
Ukraine,2019,52.3,43.9,29.6,31.5,81.8,46.9,82.6,66.1,46.7,58.6,75,35,30
United Arab Emirates,2019,77.6,81.8,78.8,87.1,99.2,68.8,88.9,79.9,81.1,80.9,84.4,40,60
United Kingdom,2019,78.9,92.3,83.8,85.9,64.7,48.2,68.6,92.9,73.5,81.2,86,90,80
United States,2019,76.8,79.3,77.4,78.6,75.1,57.1,53.1,83.8,89.4,76.6,86.6,85,80
Uruguay,2019,68.6,68.3,69.2,58.9,77.2,67.5,69.9,74.3,71.9,72.9,78.6,85,30
Uzbekistan,2019,53.3,49.8,25.2,34.3,91.3,67.4,98.7,72.5,58.7,58.9,62.6,10,10
Vanuatu,2019,56.4,65.9,51.9,36.4,97.3,54.1,15.3,52.4,58.8,75,64.4,65,40
Venezuela,2019,25.9,7.6,7.9,13.1,74.7,58.1,17.6,33.9,28,0,60,0,10
Vietnam,2019,55.3,49.8,34,40.3,79.7,74.1,40.7,63.5,62.8,68.9,79.2,30,40
Yemen,2019,,19.6,20.3,22.2,,83.7,0,45.1,49.8,61.5,71.4,50,
Zambia,2019,53.6,45,32.3,35.6,72.3,80.1,12.3,71.1,46,70.3,72.6,55,50
Zimbabwe,2019,40.4,29.7,15.8,24.8,62.3,74.5,23.7,33.4,43.3,72.4,70,25,10
